annee_pub,uca_forme_developpee,uca_sigle,universite_non_mentionnee,uns,Total
2016,361,42,264,1611,2278
2017,1298,46,216,830,2390
2018,1690,26,174,591,2481
2019,2083,27,126,387,2623
2020,2368,31,129,257,2785
2021,2643,48,87,189,2967
2022,1575,18,38,129,1760
Total,12018,238,1034,3994,17284
