annee_pub,uca_forme_developpee_debut,uca_forme_developpee_interne,uca_sigle,universite_non_mentionnee,uns,Total
2016,180,184,32,249,1633,2278
2017,899,402,40,200,849,2390
2018,1105,593,23,156,604,2481
2019,1263,824,24,123,389,2623
2020,1444,936,31,119,255,2785
2021,1525,1125,47,80,190,2967
2022,813,767,18,35,127,1760
Total,7229,4831,215,962,4047,17284
