annee_pub,uca_forme_developpee_debut,uca_forme_developpee_interne,uca_sigle,universite_non_mentionnee,uns,indice_universite_non_mentionnee,indice_uca_forme_developpee_interne,indice_uca_forme_developpee_debut,indice_uca_sigle,indice_uns
2016,180,184,32,249,1633,100.0,100.0,100.0,100.0,100.0
2017,899,402,40,200,849,80.32,218.48,499.44,125.0,51.99
2018,1105,593,23,156,604,62.65,322.28,613.89,71.88,36.99
2019,1263,824,24,123,389,49.4,447.83,701.67,75.0,23.82
2020,1444,936,31,119,255,47.79,508.7,802.22,96.88,15.62
2021,1525,1125,47,80,190,32.13,611.41,847.22,146.88,11.64
2022,813,767,18,35,127,14.06,416.85,451.67,56.25,7.78
