annee_pub,uca_forme_developpee,uca_sigle,universite_non_mentionnee,uns,indice_universite_non_mentionnee,indice_uca_forme_developpee,indice_uca_sigle,indice_uns
2016,364,32,249,1633,100.0,100.0,100.0,100.0
2017,1301,40,200,849,80.32,357.42,125.0,51.99
2018,1698,23,156,604,62.65,466.48,71.88,36.99
2019,2087,24,123,389,49.4,573.35,75.0,23.82
2020,2380,31,119,255,47.79,653.85,96.88,15.62
2021,2650,47,80,190,32.13,728.02,146.88,11.64
2022,1580,18,35,127,14.06,434.07,56.25,7.78
