annee_pub,uca_forme_developpee,uca_sigle,universite_non_mentionnee,uns,Total
2016,2.089,0.243,1.527,9.321,13.18
2017,7.51,0.266,1.25,4.802,13.828
2018,9.778,0.15,1.007,3.419,14.354
2019,12.052,0.156,0.729,2.239,15.176
2020,13.701,0.179,0.746,1.487,16.113
2021,15.292,0.278,0.503,1.093,17.166
2022,9.112,0.104,0.22,0.746,10.183
Total,69.533,1.377,5.982,23.108,100.0
