annee_pub,uca_forme_developpee_debut,uca_forme_developpee_interne,uca_sigle,universite_non_mentionnee,uns,Total
2016,1.041,1.065,0.185,1.441,9.448,13.18
2017,5.201,2.326,0.231,1.157,4.912,13.828
2018,6.393,3.431,0.133,0.903,3.495,14.354
2019,7.307,4.767,0.139,0.712,2.251,15.176
2020,8.355,5.415,0.179,0.688,1.475,16.113
2021,8.823,6.509,0.272,0.463,1.099,17.166
2022,4.704,4.438,0.104,0.202,0.735,10.183
Total,41.825,27.951,1.244,5.566,23.415,100.0
