aff_internal_id,aff_scopus_id,dc:identifiers
5,60006380,SCOPUS_ID:85112245628
5,60006380,SCOPUS_ID:85111250885
5,60006380,SCOPUS_ID:85108147387
5,60006380,SCOPUS_ID:85110665066
5,60006380,SCOPUS_ID:85114065092
5,60006380,SCOPUS_ID:85111768940
5,60006380,SCOPUS_ID:85108302766
5,60006380,SCOPUS_ID:85105714136
5,60006380,SCOPUS_ID:85105370085
5,60006380,SCOPUS_ID:85103621549
5,60006380,SCOPUS_ID:85108891431
5,60006380,SCOPUS_ID:85110261670
5,60006380,SCOPUS_ID:85108987551
5,60006380,SCOPUS_ID:85107207968
5,60006380,SCOPUS_ID:85106592156
5,60006380,SCOPUS_ID:85106367432
5,60006380,SCOPUS_ID:85105834997
5,60006380,SCOPUS_ID:85105728532
5,60006380,SCOPUS_ID:85105490993
5,60006380,SCOPUS_ID:85104983599
5,60006380,SCOPUS_ID:85104064255
5,60006380,SCOPUS_ID:85102473953
5,60006380,SCOPUS_ID:85100202769
5,60006380,SCOPUS_ID:85100144780
5,60006380,SCOPUS_ID:85088563094
5,60006380,SCOPUS_ID:85108571545
5,60006380,SCOPUS_ID:85107580600
5,60006380,SCOPUS_ID:85107074238
5,60006380,SCOPUS_ID:85122091195
5,60006380,SCOPUS_ID:85108028211
5,60006380,SCOPUS_ID:85105025458
5,60006380,SCOPUS_ID:85102801350
5,60006380,SCOPUS_ID:85087463828
5,60006380,SCOPUS_ID:85105202802
5,60006380,SCOPUS_ID:85102894359
5,60006380,SCOPUS_ID:85102174935
5,60006380,SCOPUS_ID:85103991957
5,60006380,SCOPUS_ID:85105970739
5,60006380,SCOPUS_ID:85104106190
5,60006380,SCOPUS_ID:85103919516
5,60006380,SCOPUS_ID:85102694767
5,60006380,SCOPUS_ID:85101512648
5,60006380,SCOPUS_ID:85097900088
5,60006380,SCOPUS_ID:85103682481
5,60006380,SCOPUS_ID:85102367125
5,60006380,SCOPUS_ID:85102100051
5,60006380,SCOPUS_ID:85099582382
5,60006380,SCOPUS_ID:85102608368
5,60006380,SCOPUS_ID:85099040266
5,60006380,SCOPUS_ID:85097185414
5,60006380,SCOPUS_ID:85096497664
5,60006380,SCOPUS_ID:85101000249
5,60006380,SCOPUS_ID:85128182483
5,60006380,SCOPUS_ID:85126792160
5,60006380,SCOPUS_ID:85125260971
5,60006380,SCOPUS_ID:85119919884
5,60006380,SCOPUS_ID:85116272062
5,60006380,SCOPUS_ID:85108303250
5,60006380,SCOPUS_ID:85106413068
5,60006380,SCOPUS_ID:85105251783
5,60006380,SCOPUS_ID:85103677503
5,60006380,SCOPUS_ID:85102619204
5,60006380,SCOPUS_ID:85100325094
5,60006380,SCOPUS_ID:85100225132
5,60006380,SCOPUS_ID:85092789888
5,60006380,SCOPUS_ID:85091614080
5,60006380,SCOPUS_ID:85087792855
5,60006380,SCOPUS_ID:85098055227
5,60006380,SCOPUS_ID:85090487374
5,60006380,SCOPUS_ID:85097579499
5,60006380,SCOPUS_ID:85089392425
5,60006380,SCOPUS_ID:85097820102
5,60006380,SCOPUS_ID:85098234559
5,60006380,SCOPUS_ID:85097120972
5,60006380,SCOPUS_ID:85097028619
5,60006380,SCOPUS_ID:85096598489
5,60006380,SCOPUS_ID:85096127704
5,60006380,SCOPUS_ID:85095258597
5,60006380,SCOPUS_ID:85094662218
5,60006380,SCOPUS_ID:85091290536
5,60006380,SCOPUS_ID:85089381841
5,60006380,SCOPUS_ID:85085032826
5,60006380,SCOPUS_ID:85084786354
5,60006380,SCOPUS_ID:85084721584
5,60006380,SCOPUS_ID:85078314449
5,60006380,SCOPUS_ID:85096459522
5,60006380,SCOPUS_ID:85095461673
5,60006380,SCOPUS_ID:85085322614
5,60006380,SCOPUS_ID:85083064473
5,60006380,SCOPUS_ID:85092618511
5,60006380,SCOPUS_ID:85094983227
5,60006380,SCOPUS_ID:85132556325
5,60006380,SCOPUS_ID:85092680552
5,60006380,SCOPUS_ID:85092638919
5,60006380,SCOPUS_ID:85091390498
5,60006380,SCOPUS_ID:85091209732
5,60006380,SCOPUS_ID:85086360858
5,60006380,SCOPUS_ID:85091807715
5,60006380,SCOPUS_ID:85092234013
5,60006380,SCOPUS_ID:85090869635
5,60006380,SCOPUS_ID:85090289674
5,60006380,SCOPUS_ID:85090027664
5,60006380,SCOPUS_ID:85096710464
5,60006380,SCOPUS_ID:85081284714
5,60006380,SCOPUS_ID:85090177086
5,60006380,SCOPUS_ID:85088047163
5,60006380,SCOPUS_ID:85089612646
5,60006380,SCOPUS_ID:85089530531
5,60006380,SCOPUS_ID:85089171154
5,60006380,SCOPUS_ID:85087297388
5,60006380,SCOPUS_ID:85076627975
5,60006380,SCOPUS_ID:85049064131
5,60006380,SCOPUS_ID:85088935476
5,60006380,SCOPUS_ID:85089126617
5,60006380,SCOPUS_ID:85087646461
5,60006380,SCOPUS_ID:85087110977
5,60006380,SCOPUS_ID:85086989860
5,60006380,SCOPUS_ID:85081279121
5,60006380,SCOPUS_ID:85084616609
5,60006380,SCOPUS_ID:85086585732
5,60006380,SCOPUS_ID:85087526158
5,60006380,SCOPUS_ID:85086481656
5,60006380,SCOPUS_ID:85086339234
5,60006380,SCOPUS_ID:85085158397
5,60006380,SCOPUS_ID:85079729481
5,60006380,SCOPUS_ID:85079457435
5,60006380,SCOPUS_ID:85084425299
5,60006380,SCOPUS_ID:85091281832
5,60006380,SCOPUS_ID:85084930211
5,60006380,SCOPUS_ID:85083969210
5,60006380,SCOPUS_ID:85079073542
5,60006380,SCOPUS_ID:85083479428
5,60006380,SCOPUS_ID:85081685980
5,60006380,SCOPUS_ID:85078476531
5,60006380,SCOPUS_ID:85084869564
5,60006380,SCOPUS_ID:85078017960
5,60006380,SCOPUS_ID:85082561923
5,60006380,SCOPUS_ID:85082679998
5,60006380,SCOPUS_ID:85080143469
5,60006380,SCOPUS_ID:85082792453
5,60006380,SCOPUS_ID:85082414525
5,60006380,SCOPUS_ID:85079709930
